,"Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017"
Revenue,37266.0,34300.0,36212.0
Gross Profit,22647.0,21233.0,22491.0
Gross Margin,0.6077121236515859,0.6190379008746356,0.6210924555396001
EBITDA,11451.0,10238.0,9015.0
EBIT,10086.0,9152.0,7755.0
Operating Margin,0.27064884881661566,0.26682215743440235,0.21415552855407047
NOPAT,8285.0,7403.0,2148.0
Net Income,65.0,42.0,35.0
Profit Margin,0.0017442172489668868,0.0012244897959183673,0.0009665304319010273
Return on Assets,0.0007665229927416169,,
Return on Equity,0.0032373742404621974,,
Working Capital,-6562.0,-6562.0,
Current Ratio,0.7567196826456086,0.7567196826456086,
Quick Ratio,0.4418492566640715,0.5482148815482148,
Cash Ratio,0.24024024024024024,0.24024024024024024,
Debt-to-Equity Ratio,3.0942743387998863,3.3664602791478644,
Interest Coverage Ratio,10.661733615221987,9.633684210526315,
